DT_DEBUT_MOIS,ID_REGN_ADMIN,CD_PLAGE_PRIX,CD_NATR_ACTE_JURDQ,NB_REQST
2020-07-01,"09","2","001",15
2020-07-01,"09","3","001",3
2020-07-01,"11","1","001",292
2020-07-01,"11","2","001",11
2020-07-01,"12","1","001",1085
2020-07-01,"12","2","001",275
2020-07-01,"12","3","001",54
2020-07-01,"13","1","001",207
2020-07-01,"13","2","001",462
2020-07-01,"13","3","001",177
2020-07-01,"14","1","001",1088
2020-07-01,"14","2","001",624
2020-07-01,"14","3","001",94
2020-07-01,"15","1","001",1416
2020-07-01,"15","2","001",1080
2020-07-01,"15","3","001",301
2020-07-01,"16","1","001",1897
2020-07-01,"16","2","001",1965
2020-07-01,"16","3","001",622
2020-07-01,"17","1","001",588
2020-07-01,"17","2","001",117
2020-07-01,"17","3","001",34
2020-08-01,"01","1","001",437
2020-08-01,"01","2","001",62
2020-08-01,"01","3","001",5
2020-08-01,"02","1","001",585
2020-08-01,"02","2","001",103
2020-08-01,"02","3","001",11
2020-08-01,"03","1","001",790
2020-08-01,"03","2","001",543
2020-08-01,"03","3","001",120
2020-08-01,"04","1","001",547
2020-08-01,"04","2","001",73
2020-08-01,"04","3","001",20
2020-08-01,"05","1","001",613
2020-08-01,"05","2","001",204
2020-08-01,"05","3","001",57
2020-08-01,"06","1","001",330
2020-08-01,"06","2","001",1137
2020-08-01,"06","3","001",1164
2020-08-01,"07","1","001",740
2020-08-01,"07","2","001",625
2020-08-01,"07","3","001",130
2020-08-01,"08","1","001",280
2020-08-01,"08","2","001",120
2020-08-01,"08","3","001",5
2020-08-01,"09","1","001",112
2020-08-01,"09","2","001",10
2020-08-01,"09","3","001",2
2020-08-01,"11","1","001",250
2020-08-01,"11","2","001",9
2020-08-01,"11","3","001",1
2020-08-01,"12","1","001",775
2020-08-01,"12","2","001",187
2020-08-01,"12","3","001",31
2020-08-01,"13","1","001",137
2020-08-01,"13","2","001",396
2020-08-01,"13","3","001",153
2020-08-01,"14","1","001",792
2020-08-01,"14","2","001",516
2020-08-01,"14","3","001",105
2020-08-01,"15","1","001",1209
2020-08-01,"15","2","001",996
2020-08-01,"15","3","001",312
2020-08-01,"16","1","001",1512
2020-08-01,"16","2","001",1832
2020-08-01,"16","3","001",594
2020-08-01,"17","1","001",440
2020-08-01,"17","2","001",88
2020-08-01,"17","3","001",25
2020-09-01,"01","1","001",589
2020-09-01,"01","2","001",72
2020-09-01,"01","3","001",10
2020-09-01,"02","1","001",682
2020-09-01,"02","2","001",121
2020-09-01,"02","3","001",14
2020-09-01,"03","1","001",926
2020-09-01,"03","2","001",573
2020-09-01,"03","3","001",131
2020-09-01,"04","1","001",629
2020-09-01,"04","2","001",97
2020-09-01,"04","3","001",23
2020-09-01,"05","1","001",714
2020-09-01,"05","2","001",253
2020-09-01,"05","3","001",79
2020-09-01,"06","1","001",328
2020-09-01,"06","2","001",1287
2020-09-01,"06","3","001",1297
2020-09-01,"07","1","001",844
2020-09-01,"07","2","001",568
2020-09-01,"07","3","001",129
2020-09-01,"08","1","001",325
2020-09-01,"08","2","001",108
2020-09-01,"08","3","001",9
2020-09-01,"09","1","001",169
2020-09-01,"09","2","001",15
2020-09-01,"09","3","001",3
2020-09-01,"11","1","001",326
2020-09-01,"11","2","001",15
2020-09-01,"12","1","001",971
2020-09-01,"12","2","001",232
2020-09-01,"12","3","001",33
2020-09-01,"13","1","001",157
2020-09-01,"13","2","001",418
2020-09-01,"13","3","001",169
2020-09-01,"14","1","001",1037
2020-09-01,"14","2","001",555
2020-09-01,"14","3","001",124
2020-09-01,"15","1","001",1403
2020-09-01,"15","2","001",1043
2020-09-01,"15","3","001",357
