DT_DEBUT_MOIS,ID_REGN_ADMIN,CD_NATR_ACTE_JURDQ,NB_REQST
2024-10-01,"05","004",846
2024-10-01,"06","004",3150
2024-10-01,"07","004",1306
2024-10-01,"08","004",345
2024-10-01,"09","004",179
2024-10-01,"11","004",172
2024-10-01,"12","004",1083
2024-10-01,"13","004",933
2024-10-01,"14","004",1540
2024-10-01,"15","004",2384
2024-10-01,"16","004",4237
2024-10-01,"17","004",615
2024-11-01,"01","004",403
2024-11-01,"02","004",724
2024-11-01,"03","004",1962
2024-11-01,"04","004",693
2024-11-01,"05","004",793
2024-11-01,"06","004",3292
2024-11-01,"07","004",1249
2024-11-01,"08","004",302
2024-11-01,"09","004",158
2024-11-01,"11","004",191
2024-11-01,"12","004",1058
2024-11-01,"13","004",881
2024-11-01,"14","004",1424
2024-11-01,"15","004",2237
2024-11-01,"16","004",4349
2024-11-01,"17","004",603
2024-12-01,"01","004",437
2024-12-01,"02","004",688
2024-12-01,"03","004",1618
2024-12-01,"04","004",618
2024-12-01,"05","004",722
2024-12-01,"06","004",3115
